date,commodity,market,price,unit
2021-02-23,Onion,Pune,2357.27,INR/quintal
2021-02-24,Onion,Pune,2394.57,INR/quintal
2021-02-25,Onion,Pune,2433.02,INR/quintal
2021-02-26,Onion,Pune,2467.76,INR/quintal
2021-02-27,Onion,Pune,2505.44,INR/quintal
2021-02-28,Onion,Pune,2546.49,INR/quintal
2021-03-01,Onion,Pune,2591.25,INR/quintal
2021-03-02,Onion,Pune,2633.19,INR/quintal
2021-03-03,Onion,Pune,2677.66,INR/quintal
2021-03-04,Onion,Pune,2720.86,INR/quintal
2021-03-05,Onion,Pune,2765.44,INR/quintal
2021-03-06,Onion,Pune,2818.39,INR/quintal
2021-03-07,Onion,Pune,2875.19,INR/quintal
2021-03-08,Onion,Pune,2929.23,INR/quintal
2021-03-09,Onion,Pune,2989.1,INR/quintal
2021-03-10,Onion,Pune,3048.96,INR/quintal
2021-03-11,Onion,Pune,3107.42,INR/quintal
2021-03-12,Onion,Pune,3171.86,INR/quintal
2021-03-13,Onion,Pune,3243.25,INR/quintal
2021-03-14,Onion,Pune,3311.28,INR/quintal
2021-03-15,Onion,Pune,3388.28,INR/quintal
2021-03-16,Onion,Pune,3451.27,INR/quintal
2021-03-17,Onion,Pune,3530.92,INR/quintal
2021-03-18,Onion,Pune,3610.55,INR/quintal
2021-03-19,Onion,Pune,3691.61,INR/quintal
2021-03-20,Onion,Pune,3777.54,INR/quintal
2021-03-21,Onion,Pune,3857.4,INR/quintal
2021-03-22,Onion,Pune,3948.52,INR/quintal
2021-03-23,Onion,Pune,4045.95,INR/quintal
2021-03-24,Onion,Pune,4152.67,INR/quintal
2021-03-25,Onion,Pune,4253.76,INR/quintal
2021-03-26,Onion,Pune,4357.35,INR/quintal
2021-03-27,Onion,Pune,4466.65,INR/quintal
2021-03-28,Onion,Pune,4587.88,INR/quintal
2021-03-29,Onion,Pune,4710.83,INR/quintal
2021-03-30,Onion,Pune,4833.92,INR/quintal
2021-03-31,Onion,Pune,4968.02,INR/quintal
2021-04-01,Onion,Pune,5104.81,INR/quintal
2021-04-02,Onion,Pune,5252.54,INR/quintal
2021-04-03,Onion,Pune,5395.92,INR/quintal
2021-04-04,Onion,Pune,5547.57,INR/quintal
2021-04-05,Onion,Pune,5705.06,INR/quintal
2021-04-06,Onion,Pune,5861.73,INR/quintal
2021-04-07,Onion,Pune,6037.2,INR/quintal
2021-04-08,Onion,Pune,6219.84,INR/quintal
2021-04-09,Onion,Pune,6408.33,INR/quintal
2021-04-10,Onion,Pune,6602.99,INR/quintal
2021-04-11,Onion,Pune,6796.59,INR/quintal
2021-04-12,Onion,Pune,7006.41,INR/quintal
2021-04-13,Onion,Pune,7225.89,INR/quintal
2021-04-14,Onion,Pune,7450.85,INR/quintal
2021-04-15,Onion,Pune,7691.21,INR/quintal
2021-04-16,Onion,Pune,7947.31,INR/quintal
2021-04-17,Onion,Pune,8228.91,INR/quintal
2021-04-18,Onion,Pune,8506.54,INR/quintal
2021-04-19,Onion,Pune,8797.42,INR/quintal
2021-04-20,Onion,Pune,9097.88,INR/quintal
2021-04-21,Onion,Pune,9391.72,INR/quintal
2021-04-22,Onion,Pune,9719.73,INR/quintal
2021-04-23,Onion,Pune,10063.66,INR/quintal
2021-04-24,Onion,Pune,10452.37,INR/quintal
2021-04-25,Onion,Pune,10826.5,INR/quintal
2021-04-26,Onion,Pune,11224.28,INR/quintal
2021-04-27,Onion,Pune,11636.12,INR/quintal
2021-04-28,Onion,Pune,12051.37,INR/quintal
2021-04-29,Onion,Pune,12519.12,INR/quintal
2021-04-30,Onion,Pune,13003.59,INR/quintal
2021-05-01,Onion,Pune,13509.61,INR/quintal
2021-05-02,Onion,Pune,14012.52,INR/quintal
2021-05-03,Onion,Pune,14577.96,INR/quintal
2021-05-04,Onion,Pune,15122.27,INR/quintal
2021-05-05,Onion,Pune,15728.3,INR/quintal
2021-05-06,Onion,Pune,16394.39,INR/quintal
2021-05-07,Onion,Pune,17031.83,INR/quintal
2021-05-08,Onion,Pune,17708.68,INR/quintal
2021-05-09,Onion,Pune,18432.74,INR/quintal
2021-05-10,Onion,Pune,19179.47,INR/quintal
2021-05-11,Onion,Pune,19939.01,INR/quintal
2021-05-12,Onion,Pune,20774.27,INR/quintal
2021-05-13,Onion,Pune,21623.51,INR/quintal
2021-05-14,Onion,Pune,22554.79,INR/quintal
2021-05-15,Onion,Pune,23496.24,INR/quintal
2021-05-16,Onion,Pune,24554.68,INR/quintal
2021-05-17,Onion,Pune,25600.47,INR/quintal
2021-05-18,Onion,Pune,26713.73,INR/quintal
2021-05-19,Onion,Pune,27920.92,INR/quintal
2021-05-20,Onion,Pune,29123.68,INR/quintal
2021-05-21,Onion,Pune,30439.11,INR/quintal
2021-05-22,Onion,Pune,31863.72,INR/quintal
2021-05-23,Onion,Pune,33254.33,INR/quintal
2021-05-24,Onion,Pune,34788.38,INR/quintal
2021-05-25,Onion,Pune,36408.04,INR/quintal
2021-05-26,Onion,Pune,38138.14,INR/quintal
2021-05-27,Onion,Pune,39870.84,INR/quintal
2021-05-28,Onion,Pune,41691.59,INR/quintal
2021-05-29,Onion,Pune,43701.55,INR/quintal
2021-05-30,Onion,Pune,45811.15,INR/quintal
2021-05-31,Onion,Pune,48035.21,INR/quintal
2021-06-01,Onion,Pune,50376.66,INR/quintal
2021-06-02,Onion,Pune,52786.79,INR/quintal
2021-06-03,Onion,Pune,55387.38,INR/quintal
2021-06-04,Onion,Pune,58138.29,INR/quintal
2021-06-05,Onion,Pune,60974.56,INR/quintal
2021-06-06,Onion,Pune,64157.87,INR/quintal
2021-06-07,Onion,Pune,67421.06,INR/quintal
2021-06-08,Onion,Pune,70737.36,INR/quintal
2021-06-09,Onion,Pune,74396.5,INR/quintal
2021-06-10,Onion,Pune,78123.28,INR/quintal
2021-06-11,Onion,Pune,82227.0,INR/quintal
2021-06-12,Onion,Pune,86609.29,INR/quintal
2021-06-13,Onion,Pune,91047.08,INR/quintal
2021-06-14,Onion,Pune,95936.16,INR/quintal
2021-06-15,Onion,Pune,101054.85,INR/quintal
2021-06-16,Onion,Pune,106528.24,INR/quintal
2021-06-17,Onion,Pune,112469.08,INR/quintal
2021-06-18,Onion,Pune,118487.46,INR/quintal
2021-06-19,Onion,Pune,124792.75,INR/quintal
2021-06-20,Onion,Pune,131452.21,INR/quintal
2021-06-21,Onion,Pune,138519.61,INR/quintal
2021-06-22,Onion,Pune,146132.76,INR/quintal
2021-06-23,Onion,Pune,154282.87,INR/quintal
2021-06-24,Onion,Pune,162923.16,INR/quintal
2021-06-25,Onion,Pune,172205.01,INR/quintal
2021-06-26,Onion,Pune,181900.14,INR/quintal
2021-06-27,Onion,Pune,192511.06,INR/quintal
2021-06-28,Onion,Pune,203402.57,INR/quintal
2021-06-29,Onion,Pune,215700.49,INR/quintal
2021-06-30,Onion,Pune,228264.96,INR/quintal
2021-07-01,Onion,Pune,241166.79,INR/quintal
2021-07-02,Onion,Pune,254808.34,INR/quintal
2021-07-03,Onion,Pune,269772.68,INR/quintal
2021-07-04,Onion,Pune,285467.68,INR/quintal
2021-07-05,Onion,Pune,302481.68,INR/quintal
2021-07-06,Onion,Pune,320511.82,INR/quintal
2021-07-07,Onion,Pune,339501.16,INR/quintal
2021-07-08,Onion,Pune,359399.99,INR/quintal
2021-07-09,Onion,Pune,380282.23,INR/quintal
2021-07-10,Onion,Pune,402976.25,INR/quintal
2021-07-11,Onion,Pune,427771.77,INR/quintal
2021-07-12,Onion,Pune,453887.19,INR/quintal
2021-07-13,Onion,Pune,480932.86,INR/quintal
2021-07-14,Onion,Pune,510547.31,INR/quintal
2021-07-15,Onion,Pune,542261.64,INR/quintal
2021-07-16,Onion,Pune,575275.02,INR/quintal
2021-07-17,Onion,Pune,611178.29,INR/quintal
2021-07-18,Onion,Pune,649425.59,INR/quintal
2021-07-19,Onion,Pune,689313.84,INR/quintal
2021-07-20,Onion,Pune,733087.59,INR/quintal
2021-07-21,Onion,Pune,780025.42,INR/quintal
2021-07-22,Onion,Pune,830675.58,INR/quintal
2021-07-23,Onion,Pune,884817.0,INR/quintal
2021-07-24,Onion,Pune,940151.27,INR/quintal
2021-07-25,Onion,Pune,999702.44,INR/quintal
2021-07-26,Onion,Pune,1065044.34,INR/quintal
2021-07-27,Onion,Pune,1134948.23,INR/quintal
2021-07-28,Onion,Pune,1209752.85,INR/quintal
2021-07-29,Onion,Pune,1294663.43,INR/quintal
2021-07-30,Onion,Pune,1380787.34,INR/quintal
2021-07-31,Onion,Pune,1473950.45,INR/quintal
2021-08-01,Onion,Pune,1573206.81,INR/quintal
2021-08-02,Onion,Pune,1678999.59,INR/quintal
2021-08-03,Onion,Pune,1790409.71,INR/quintal
2021-08-04,Onion,Pune,1911999.53,INR/quintal
2021-08-05,Onion,Pune,2038842.14,INR/quintal
2021-08-06,Onion,Pune,2175952.96,INR/quintal
2021-08-07,Onion,Pune,2322212.05,INR/quintal
2021-08-08,Onion,Pune,2480496.27,INR/quintal
2021-08-09,Onion,Pune,2656868.59,INR/quintal
2021-08-10,Onion,Pune,2833146.14,INR/quintal
2021-08-11,Onion,Pune,3030542.21,INR/quintal
2021-08-12,Onion,Pune,3234121.78,INR/quintal
2021-08-13,Onion,Pune,3456645.63,INR/quintal
2021-08-14,Onion,Pune,3701851.28,INR/quintal
2021-08-15,Onion,Pune,3960856.71,INR/quintal
2021-08-16,Onion,Pune,4233577.09,INR/quintal
2021-08-17,Onion,Pune,4528005.18,INR/quintal
2021-08-18,Onion,Pune,4851649.89,INR/quintal
2021-08-19,Onion,Pune,5191459.24,INR/quintal
2021-08-20,Onion,Pune,5562291.11,INR/quintal
2021-08-21,Onion,Pune,5959885.86,INR/quintal
2021-08-22,Onion,Pune,6382426.44,INR/quintal
2021-08-23,Onion,Pune,6857949.57,INR/quintal
2021-08-24,Onion,Pune,7358205.35,INR/quintal
2021-08-25,Onion,Pune,7873325.57,INR/quintal
2021-08-26,Onion,Pune,8447379.61,INR/quintal
2021-08-27,Onion,Pune,9056806.27,INR/quintal
2021-08-28,Onion,Pune,9728919.63,INR/quintal
2021-08-29,Onion,Pune,10434132.69,INR/quintal
2021-08-30,Onion,Pune,11201546.53,INR/quintal
2021-08-31,Onion,Pune,12036513.57,INR/quintal
2021-09-01,Onion,Pune,12941105.79,INR/quintal
2021-09-02,Onion,Pune,13884796.76,INR/quintal
2021-09-03,Onion,Pune,14915155.08,INR/quintal
2021-09-04,Onion,Pune,16023133.18,INR/quintal
2021-09-05,Onion,Pune,17213926.4,INR/quintal
2021-09-06,Onion,Pune,18547403.55,INR/quintal
2021-09-07,Onion,Pune,19958441.38,INR/quintal
2021-09-08,Onion,Pune,21441809.66,INR/quintal
2021-09-09,Onion,Pune,23096719.9,INR/quintal
2021-09-10,Onion,Pune,24918366.37,INR/quintal
2021-09-11,Onion,Pune,26857167.25,INR/quintal
2021-09-12,Onion,Pune,28871103.65,INR/quintal
2021-09-13,Onion,Pune,31078928.58,INR/quintal
2021-09-14,Onion,Pune,33528431.44,INR/quintal
2021-09-15,Onion,Pune,36099664.71,INR/quintal
2021-09-16,Onion,Pune,38926692.58,INR/quintal
2021-09-17,Onion,Pune,41999965.88,INR/quintal
2021-09-18,Onion,Pune,45240251.27,INR/quintal
2021-09-19,Onion,Pune,48788520.48,INR/quintal
2021-09-20,Onion,Pune,52440559.49,INR/quintal
2021-09-21,Onion,Pune,56518096.98,INR/quintal
2021-09-22,Onion,Pune,60978624.57,INR/quintal
2021-09-23,Onion,Pune,65733018.87,INR/quintal
2021-09-24,Onion,Pune,71101083.82,INR/quintal
2021-09-25,Onion,Pune,76663300.33,INR/quintal
2021-09-26,Onion,Pune,82770131.25,INR/quintal
2021-09-27,Onion,Pune,89439969.28,INR/quintal
2021-09-28,Onion,Pune,96809389.22,INR/quintal
2021-09-29,Onion,Pune,104474987.69,INR/quintal
2021-09-30,Onion,Pune,113098455.82,INR/quintal
2021-10-01,Onion,Pune,122311931.57,INR/quintal
2021-10-02,Onion,Pune,132159738.59,INR/quintal
2021-10-03,Onion,Pune,143061064.61,INR/quintal
2021-10-04,Onion,Pune,154850748.33,INR/quintal
2021-10-05,Onion,Pune,167500644.41,INR/quintal
2021-10-06,Onion,Pune,181358788.31,INR/quintal
2021-10-07,Onion,Pune,196307971.29,INR/quintal
2021-10-08,Onion,Pune,212654051.32,INR/quintal
2021-10-09,Onion,Pune,230552324.75,INR/quintal
2021-10-10,Onion,Pune,250268064.36,INR/quintal
2021-10-11,Onion,Pune,270881956.2,INR/quintal
2021-10-12,Onion,Pune,294354703.03,INR/quintal
2021-10-13,Onion,Pune,318489398.72,INR/quintal
2021-10-14,Onion,Pune,345367814.77,INR/quintal
2021-10-15,Onion,Pune,374904704.29,INR/quintal
2021-10-16,Onion,Pune,406920023.78,INR/quintal
2021-10-17,Onion,Pune,441326498.76,INR/quintal
2021-10-18,Onion,Pune,478968621.35,INR/quintal
2021-10-19,Onion,Pune,519773791.07,INR/quintal
2021-10-20,Onion,Pune,564121437.88,INR/quintal
2021-10-21,Onion,Pune,613364169.15,INR/quintal
2021-10-22,Onion,Pune,666692173.51,INR/quintal
2021-10-23,Onion,Pune,723979349.77,INR/quintal
2021-10-24,Onion,Pune,787749478.46,INR/quintal
2021-10-25,Onion,Pune,856769532.83,INR/quintal
2021-10-26,Onion,Pune,932566707.19,INR/quintal
2021-10-27,Onion,Pune,1015093510.26,INR/quintal
2021-10-28,Onion,Pune,1103396434.39,INR/quintal
2021-10-29,Onion,Pune,1200008736.9,INR/quintal
2021-10-30,Onion,Pune,1307259472.8,INR/quintal
2021-10-31,Onion,Pune,1424204467.33,INR/quintal
2021-11-01,Onion,Pune,1551146116.08,INR/quintal
2021-11-02,Onion,Pune,1690045078.57,INR/quintal
2021-11-03,Onion,Pune,1844156065.03,INR/quintal
2021-11-04,Onion,Pune,2008643819.39,INR/quintal
2021-11-05,Onion,Pune,2191050108.08,INR/quintal
2021-11-06,Onion,Pune,2388600280.48,INR/quintal
2021-11-07,Onion,Pune,2604518159.58,INR/quintal
2021-11-08,Onion,Pune,2844724873.09,INR/quintal
2021-11-09,Onion,Pune,3106870715.35,INR/quintal
2021-11-10,Onion,Pune,3393916329.41,INR/quintal
2021-11-11,Onion,Pune,3710347874.3,INR/quintal
2021-11-12,Onion,Pune,4051507722.48,INR/quintal
2021-11-13,Onion,Pune,4428284537.49,INR/quintal
2021-11-14,Onion,Pune,4835961591.99,INR/quintal
2021-11-15,Onion,Pune,5286093639.11,INR/quintal
2021-11-16,Onion,Pune,5776603332.38,INR/quintal
2021-11-17,Onion,Pune,6315694838.04,INR/quintal
2021-11-18,Onion,Pune,6910507269.62,INR/quintal
2021-11-19,Onion,Pune,7551413578.28,INR/quintal
2021-11-20,Onion,Pune,8280102333.03,INR/quintal
2021-11-21,Onion,Pune,9050484967.6,INR/quintal
2021-11-22,Onion,Pune,9892655611.95,INR/quintal
2021-11-23,Onion,Pune,10843955460.12,INR/quintal
2021-11-24,Onion,Pune,11884826051.35,INR/quintal
2021-11-25,Onion,Pune,13026361008.07,INR/quintal
2021-11-26,Onion,Pune,14281063801.04,INR/quintal
2021-11-27,Onion,Pune,15649444754.01,INR/quintal
2021-11-28,Onion,Pune,17136501933.06,INR/quintal
2021-11-29,Onion,Pune,18789466531.75,INR/quintal
2021-11-30,Onion,Pune,20589949169.19,INR/quintal
2021-12-01,Onion,Pune,22614488470.2,INR/quintal
2021-12-02,Onion,Pune,24813762644.76,INR/quintal
2021-12-03,Onion,Pune,27213455878.23,INR/quintal
2021-12-04,Onion,Pune,29869097894.22,INR/quintal
2021-12-05,Onion,Pune,32818380441.54,INR/quintal
2021-12-06,Onion,Pune,36029418369.82,INR/quintal
2021-12-07,Onion,Pune,39553376894.76,INR/quintal
2021-12-08,Onion,Pune,43483526449.29,INR/quintal
2021-12-09,Onion,Pune,47816310467.45,INR/quintal
2021-12-10,Onion,Pune,52550980176.91,INR/quintal
2021-12-11,Onion,Pune,57771402084.64,INR/quintal
2021-12-12,Onion,Pune,63575348384.8,INR/quintal
2021-12-13,Onion,Pune,69852077510.75,INR/quintal
2021-12-14,Onion,Pune,76771613503.65,INR/quintal
2021-12-15,Onion,Pune,84461809534.96,INR/quintal
2021-12-16,Onion,Pune,92997511228.47,INR/quintal
2021-12-17,Onion,Pune,102480861655.32,INR/quintal
2021-12-18,Onion,Pune,113103792232.24,INR/quintal
2021-12-19,Onion,Pune,124776510907.67,INR/quintal
2021-12-20,Onion,Pune,137537483804.41,INR/quintal
2021-12-21,Onion,Pune,151666559624.11,INR/quintal
2021-12-22,Onion,Pune,167112113013.62,INR/quintal
2021-12-23,Onion,Pune,184376619261.56,INR/quintal
2021-12-24,Onion,Pune,203418850113.43,INR/quintal
2021-12-25,Onion,Pune,224636639281.26,INR/quintal
2021-12-26,Onion,Pune,247823695918.88,INR/quintal
2021-12-27,Onion,Pune,273877775222.29,INR/quintal
2021-12-28,Onion,Pune,303085183766.63,INR/quintal
2021-12-29,Onion,Pune,334900508901.21,INR/quintal
2021-12-30,Onion,Pune,370360636358.52,INR/quintal
2021-12-31,Onion,Pune,409814478223.16,INR/quintal
2022-01-01,Onion,Pune,453160167898.89,INR/quintal
2022-01-02,Onion,Pune,501567183430.87,INR/quintal
2022-01-03,Onion,Pune,555169556486.64,INR/quintal
2022-01-04,Onion,Pune,614725651157.99,INR/quintal
2022-01-05,Onion,Pune,680215660267.52,INR/quintal
2022-01-06,Onion,Pune,753541591777.72,INR/quintal
2022-01-07,Onion,Pune,835431200166.69,INR/quintal
2022-01-08,Onion,Pune,927432650676.87,INR/quintal
2022-01-09,Onion,Pune,1029304677673.12,INR/quintal
2022-01-10,Onion,Pune,1144160204782.46,INR/quintal
2022-01-11,Onion,Pune,1268177723997.89,INR/quintal
2022-01-12,Onion,Pune,1408528467530.97,INR/quintal
2022-01-13,Onion,Pune,1563688138717.08,INR/quintal
2022-01-14,Onion,Pune,1740195556615.41,INR/quintal
2022-01-15,Onion,Pune,1930914158848.16,INR/quintal
2022-01-16,Onion,Pune,2143071907763.14,INR/quintal
2022-01-17,Onion,Pune,2379837486316.78,INR/quintal
2022-01-18,Onion,Pune,2639163626130.7,INR/quintal
2022-01-19,Onion,Pune,2932650858731.19,INR/quintal
2022-01-20,Onion,Pune,3258891932471.15,INR/quintal
2022-01-21,Onion,Pune,3626027893447.94,INR/quintal
2022-01-22,Onion,Pune,4036523666162.2,INR/quintal
2022-01-23,Onion,Pune,4502226147003.48,INR/quintal
2022-01-24,Onion,Pune,5018113656207.35,INR/quintal
2022-01-25,Onion,Pune,5585546160876.17,INR/quintal
2022-01-26,Onion,Pune,6216805856848.9,INR/quintal
2022-01-27,Onion,Pune,6931810570222.95,INR/quintal
2022-01-28,Onion,Pune,7716245260173.12,INR/quintal
2022-01-29,Onion,Pune,8621167075990.36,INR/quintal
2022-01-30,Onion,Pune,9628307032599.93,INR/quintal
2022-01-31,Onion,Pune,10737234062530.08,INR/quintal
2022-02-01,Onion,Pune,11963372290945.38,INR/quintal
2022-02-02,Onion,Pune,13377530996044.23,INR/quintal
2022-02-03,Onion,Pune,14939733911805.52,INR/quintal
2022-02-04,Onion,Pune,16713598164550.02,INR/quintal
2022-02-05,Onion,Pune,18646869059235.64,INR/quintal
2022-02-06,Onion,Pune,20832282389099.64,INR/quintal
2022-02-07,Onion,Pune,23295945696501.06,INR/quintal
2022-02-08,Onion,Pune,26059985403512.12,INR/quintal
2022-02-09,Onion,Pune,29145237136943.33,INR/quintal
2022-02-10,Onion,Pune,32643148463370.58,INR/quintal
2022-02-11,Onion,Pune,36505729822631.92,INR/quintal
2022-02-12,Onion,Pune,40878313679864.76,INR/quintal
2022-02-13,Onion,Pune,45801462366297.72,INR/quintal
2022-02-14,Onion,Pune,51354843073007.13,INR/quintal
2022-02-15,Onion,Pune,57611306256145.99,INR/quintal
2022-02-16,Onion,Pune,64522809958392.92,INR/quintal
2022-02-17,Onion,Pune,72253960401107.33,INR/quintal
2022-02-18,Onion,Pune,81180159105424.66,INR/quintal
2022-02-19,Onion,Pune,91145035246869.9,INR/quintal
2022-02-20,Onion,Pune,102246428159920.19,INR/quintal
2022-02-21,Onion,Pune,115017565104956.86,INR/quintal
2022-02-22,Onion,Pune,129225710209973.36,INR/quintal
2022-02-23,Onion,Pune,145398894026383.56,INR/quintal
2022-02-24,Onion,Pune,163452928029687.3,INR/quintal
2022-02-25,Onion,Pune,184196749290636.03,INR/quintal
2022-02-26,Onion,Pune,207570093835289.62,INR/quintal
2022-02-27,Onion,Pune,233482845106556.47,INR/quintal
2022-02-28,Onion,Pune,263054410757484.38,INR/quintal
2022-03-01,Onion,Pune,296378446339704.9,INR/quintal
2022-03-02,Onion,Pune,334285564190147.75,INR/quintal
2022-03-03,Onion,Pune,376222796291256.6,INR/quintal
2022-03-04,Onion,Pune,424299368562297.7,INR/quintal
2022-03-05,Onion,Pune,478859114952351.6,INR/quintal
2022-03-06,Onion,Pune,538985256004844.3,INR/quintal
2022-03-07,Onion,Pune,607224150924354.1,INR/quintal
2022-03-08,Onion,Pune,683694275453289.8,INR/quintal
2022-03-09,Onion,Pune,771489512019586.8,INR/quintal
2022-03-10,Onion,Pune,871746913035288.4,INR/quintal
2022-03-11,Onion,Pune,986164466541676.8,INR/quintal
2022-03-12,Onion,Pune,1114260737882394.8,INR/quintal
2022-03-13,Onion,Pune,1261472009907981.5,INR/quintal
2022-03-14,Onion,Pune,1424028218167961.8,INR/quintal
2022-03-15,Onion,Pune,1607488393581292.2,INR/quintal
2022-03-16,Onion,Pune,1818337829096069.0,INR/quintal
2022-03-17,Onion,Pune,2058454043920903.2,INR/quintal
2022-03-18,Onion,Pune,2329986347716087.0,INR/quintal
2022-03-19,Onion,Pune,2632483033744918.5,INR/quintal
2022-03-20,Onion,Pune,2981446181666366.5,INR/quintal
2022-03-21,Onion,Pune,3373390245301725.0,INR/quintal
2022-03-22,Onion,Pune,3826062941623320.5,INR/quintal
2022-03-23,Onion,Pune,4339463044584094.0,INR/quintal
2022-03-24,Onion,Pune,4916510750984721.0,INR/quintal
2022-03-25,Onion,Pune,5574574319887058.0,INR/quintal
2022-03-26,Onion,Pune,6319076051996288.0,INR/quintal
2022-03-27,Onion,Pune,7172839494506132.0,INR/quintal
2022-03-28,Onion,Pune,8153297348210243.0,INR/quintal
2022-03-29,Onion,Pune,9251721138765204.0,INR/quintal
2022-03-30,Onion,Pune,1.0517997992349472e+16,INR/quintal
2022-03-31,Onion,Pune,1.194832354768135e+16,INR/quintal
2022-04-01,Onion,Pune,1.3572895316206e+16,INR/quintal
2022-04-02,Onion,Pune,1.5434414682630714e+16,INR/quintal
2022-04-03,Onion,Pune,1.7539609314525566e+16,INR/quintal
2022-04-04,Onion,Pune,1.9948398552267024e+16,INR/quintal
2022-04-05,Onion,Pune,2.2679759989036372e+16,INR/quintal
2022-04-06,Onion,Pune,2.5879342288675296e+16,INR/quintal
2022-04-07,Onion,Pune,2.9479707428848336e+16,INR/quintal
2022-04-08,Onion,Pune,3.3565568735613464e+16,INR/quintal
2022-04-09,Onion,Pune,3.8266605879443656e+16,INR/quintal
2022-04-10,Onion,Pune,4.362482663617813e+16,INR/quintal
2022-04-11,Onion,Pune,4.974331893711685e+16,INR/quintal
2022-04-12,Onion,Pune,5.678766965192525e+16,INR/quintal
2022-04-13,Onion,Pune,6.4859760842229784e+16,INR/quintal
2022-04-14,Onion,Pune,7.400229171997917e+16,INR/quintal
2022-04-15,Onion,Pune,8.44560590047167e+16,INR/quintal
2022-04-16,Onion,Pune,9.644730896184475e+16,INR/quintal
2022-04-17,Onion,Pune,1.0994106459748024e+17,INR/quintal
2022-04-18,Onion,Pune,1.2546584679099976e+17,INR/quintal
2022-04-19,Onion,Pune,1.4366167314250067e+17,INR/quintal
2022-04-20,Onion,Pune,1.6459564177868173e+17,INR/quintal
2022-04-21,Onion,Pune,1.882647107164791e+17,INR/quintal
2022-04-22,Onion,Pune,2.1559107878323888e+17,INR/quintal
2022-04-23,Onion,Pune,2.4689200193737197e+17,INR/quintal
2022-04-24,Onion,Pune,2.8364522969884026e+17,INR/quintal
2022-04-25,Onion,Pune,3.2530360962341005e+17,INR/quintal
2022-04-26,Onion,Pune,3.7270879911914944e+17,INR/quintal
2022-04-27,Onion,Pune,4.267841817769764e+17,INR/quintal
2022-04-28,Onion,Pune,4.8852303789956826e+17,INR/quintal
2022-04-29,Onion,Pune,5.604269039007349e+17,INR/quintal
2022-04-30,Onion,Pune,6.424665209031414e+17,INR/quintal
2022-05-01,Onion,Pune,7.361114103972204e+17,INR/quintal
2022-05-02,Onion,Pune,8.443503188520947e+17,INR/quintal
2022-05-03,Onion,Pune,9.683611020213542e+17,INR/quintal
2022-05-04,Onion,Pune,1.1141429020303862e+18,INR/quintal
2022-05-05,Onion,Pune,1.2811851418986332e+18,INR/quintal
